onset	duration	trial_type	response_time	accuracy
3e-04	2.615	CongMix	0.399	1
2.6173	2.146	CongMix	0.43	1
4.7663	2.499	IncongMix	0.432	1
7.2833	2.215	IncongMix	0.315	0
9.5163	2.367	CongMix	0.45	1
11.8993	2.56	IncongMix	0.627	1
14.4653	1.961	CongMix	0.445	1
16.4313	2.03	CongMix	0.447	1
18.4643	2.366	IncongMix	0.55	1
20.8473	2.806	CongMix	0.439	1
23.6643	2.703	IncongMix	0.453	1
26.3803	2.734	IncongMix	0.617	1
29.1303	2.285	CongMix	0.419	1
31.4293	2.744	IncongMix	0.544	1
34.1793	2.529	CongMix	0.346	1
36.7123	2.71	IncongMix	0.477	1
39.4283	2.069	IncongMix	0.553	1
41.5113	2.385	CongMix	0.485	1
43.9113	2.246	CongMix	0.429	1
46.1613	2.249	IncongMix	0.499	1
48.4273	2.114	IncongMix	0.481	1
50.5433	2.586	IncongMix	0.453	1
53.1433	2.671	CongMix	0.405	1
55.8263	1.937	IncongMix	0.554	1
57.7763	2.161	CongMix	0.411	1
59.9423	1.998	IncongMix	0.581	1
61.9423	2.845	CongMix	0.429	1
64.7913	2.194	IncongMix	0.428	1
66.9913	2.249	CongMix	0.516	1
69.2573	2.327	CongMix	0.378	1
71.5903	1.928	IncongMix	0.429	1
73.5233	2.215	CongMix	0.416	1
75.7403	1.903	IncongMix	0.503	1
77.6563	2.097	CongMix	0.514	1
79.7563	2.559	CongMix	0.51	1
82.3223	2.123	CongMix	0.424	1
84.4553	2.863	IncongMix	0.563	1
87.3223	2.097	IncongMix	0.448	1
89.4213	2.23	IncongMix	0.597	1
91.6543	2.573	CongMix	0.724	1
94.2373	2.797	CongMix	0.381	1
97.0373	2.113	IncongMix	0.58	1
99.1533	1.75	CongMix	0	0
101.8203	1.994	IncongMix	0.445	1
103.8193	2.872	IncongMix	0.406	1
106.7023	2.333	IncongMix	0.483	1
109.0523	2.169	CongMix	0.453	1
111.2353	2.609	CongMix	0.326	1
113.8513	2.9	CongMix	0.517	1
116.7683	2.443	CongMix	0.344	1
119.2173	2.891	IncongMix	0.591	1
122.1173	2.094	CongMix	0.427	1
124.2173	2.01	IncongMix	0.543	1
126.2333	2.6	CongMix	0.367	1
128.8493	2.187	IncongMix	0.487	1
131.0493	2.257	IncongMix	0.374	1
133.3153	2.8	IncongMix	0.5	1
136.1323	1.938	CongMix	0.539	1
138.0813	2.359	IncongMix	0.542	1
140.4483	2.454	IncongMix	0.471	1
142.9143	2.431	CongMix	0.349	1
145.3473	2.403	CongMix	0.42	1
147.7633	2.894	IncongMix	0.428	1
150.6633	2.51	IncongMix	0.511	1
153.1793	2.426	CongMix	0.427	1
155.6123	2.221	CongMix	0.322	1
157.8453	2.302	IncongMix	0.585	1
160.1623	2.743	IncongMix	0.46	1
162.9113	2.898	IncongMix	0.415	1
165.8113	2.814	CongMix	0.315	1
168.6273	2.698	CongMix	0.482	1
171.3433	2.348	CongMix	0.398	1
184.7583	2.415	Neutral1	0.399	1
187.1913	2.415	Neutral1	0.349	1
189.6243	2.407	Neutral1	0.54	1
192.0413	2.419	Neutral1	0.419	1
194.4743	2.407	Neutral1	0.474	0
196.8903	2.416	Neutral1	0.45	1
199.3233	2.41	Neutral1	0.777	1
201.7393	2.416	Neutral1	0.449	1
204.1563	2.413	Neutral1	0.463	1
206.5723	2.428	Neutral1	0.495	1
209.0053	2.401	Neutral1	0.518	1
211.4213	2.42	Neutral1	0.454	1
213.8543	2.414	Neutral1	0.381	1
216.2713	2.421	Neutral1	0.404	1
218.7043	2.416	Neutral1	0.483	1
221.1373	2.403	Neutral1	0.337	1
223.5533	2.42	Neutral1	0.537	1
225.9863	2.414	Neutral1	0.448	1
228.4193	2.418	Neutral1	0.335	1
