onset	duration	trial_type	response_time	accuracy
3e-04	2.406	Neutral1	0.623	1
2.4173	2.417	Neutral1	0.35	1
4.8503	2.41	Neutral1	0.46	1
7.2663	2.416	Neutral1	0.316	0
9.6993	2.41	Neutral1	0.427	1
12.1153	2.427	Neutral1	0.611	1
14.5483	2.412	Neutral1	0.578	1
16.9653	2.413	Neutral1	0.497	1
19.3813	2.419	Neutral1	0.369	1
21.8143	2.415	Neutral1	0.415	1
24.2473	2.414	Neutral1	0.398	1
26.6803	2.402	Neutral1	0.469	1
29.0963	2.426	Neutral1	0.493	1
31.5293	2.412	Neutral1	0.428	1
33.9463	2.409	Neutral1	0.459	1
36.3623	2.416	Neutral1	0.283	1
38.7953	2.427	Neutral1	0.377	1
41.2283	2.399	Neutral1	0.416	1
43.6443	2.428	Neutral1	0.312	1
46.0773	2.41	Neutral1	0.311	1
48.4933	2.406	Neutral1	0.239	1
50.9103	2.425	Neutral1	0.358	0
53.3433	2.418	Neutral1	0.485	1
55.7763	2.403	Neutral1	0.603	1
58.1923	2.428	Neutral1	0.395	1
60.6253	2.41	Neutral1	0.394	1
63.0413	2.409	Neutral1	0.442	1
65.4583	2.41	Neutral1	0.377	1
67.8743	2.425	Neutral1	0.409	1
70.3073	2.409	Neutral1	0.376	0
72.7233	2.412	Neutral1	0.295	0
75.1403	2.424	Neutral1	0.574	1
77.5733	2.416	Neutral1	0.533	1
80.0063	2.406	Neutral1	0.356	1
82.4223	2.41	Neutral1	0.444	1
84.8383	2.429	Neutral1	0.396	1
87.2713	2.404	Neutral1	0.371	1
89.6883	2.412	Neutral1	0.329	1
92.1043	2.415	Neutral1	0.449	1
94.5373	2.413	Neutral1	0.464	1
96.9533	2.421	Neutral1	0.488	1
99.3863	2.418	Neutral1	0.519	1
101.8193	2.418	Neutral1	0.502	1
104.2523	2.412	Neutral1	0.429	1
106.6693	2.409	Neutral1	0.459	1
109.0853	2.414	Neutral1	0.531	1
111.5013	2.415	Neutral1	0.515	1
113.9183	2.413	Neutral1	0.53	1
116.3343	2.422	Neutral1	0.506	1
118.7673	2.407	Neutral1	0.441	1
121.1833	2.425	Neutral1	0.409	1
123.6163	2.412	Neutral1	0.495	1
126.0333	2.407	Neutral1	0.374	1
128.4493	2.425	Neutral1	0.542	1
130.8823	2.411	Neutral1	0.461	1
133.2983	2.414	Neutral1	0.397	1
135.7153	2.403	Neutral1	0.436	1
138.1313	2.422	Neutral1	0.372	1
140.5643	2.409	Neutral1	0.426	1
142.9803	2.426	Neutral1	0.426	1
145.4133	2.417	Neutral1	0.417	1
147.8463	2.4	Neutral1	0.416	1
150.2633	2.426	Neutral1	0.343	1
152.6953	2.404	Neutral1	0.671	1
155.1123	2.422	Neutral1	0.422	1
157.5453	2.408	Neutral1	0.508	1
159.9613	2.426	Neutral1	0.46	1
162.3943	2.402	Neutral1	0.419	1
164.8103	2.42	Neutral1	0.371	1
167.2433	2.424	Neutral1	0.458	1
169.6763	2.406	Neutral1	0.473	1
172.0933	1.916	Neutral1	0.4	1
185.0743	2.61	CongMix	0.41	1
187.6913	2.234	IncongMix	0.601	1
189.9403	2.131	CongMix	0.432	1
192.0733	2.179	IncongMix	0.53	1
194.2563	2.751	IncongMix	0.651	1
197.0233	2.547	CongMix	0.564	1
199.5723	2.184	IncongMix	0.551	1
201.7723	2.005	IncongMix	0.439	1
203.7883	2.897	IncongMix	0.431	1
206.6883	2.447	CongMix	0.547	1
209.1383	2.8	CongMix	0.417	1
211.9543	2.357	IncongMix	0.624	1
214.3203	2.557	CongMix	0.474	1
216.8863	2.436	CongMix	0.42	1
219.3363	2.262	IncongMix	0.578	1
221.6033	1.947	CongMix	0.415	1
223.5523	2.209	CongMix	0.642	1
225.7693	2.637	CongMix	0.537	1
228.4183	2.813	CongMix	0.447	1
231.2343	2.845	CongMix	0.495	1
234.0843	2.184	CongMix	0.501	1
236.2843	2.692	CongMix	0.509	1
238.9833	2.217	CongMix	0.418	1
241.2163	2.095	CongMix	0.529	1
243.3163	2.715	IncongMix	0.532	1
246.0493	2.09	CongMix	0.423	1
248.1493	2.12	IncongMix	0.587	1
250.2823	2.387	CongMix	0.638	1
252.6813	2.852	IncongMix	0.535	1
255.5483	2.9	IncongMix	0.484	1
258.4643	2.559	IncongMix	0.56	1
261.0303	2.095	IncongMix	0.529	1
263.1303	2.031	CongMix	0.565	1
265.1633	2.323	CongMix	0.74	1
267.4963	2.621	CongMix	0.455	1
270.1293	1.996	IncongMix	0.446	1
272.1293	2.45	CongMix	0.55	1
274.5953	1.942	IncongMix	0.492	1
276.5453	2.53	CongMix	0.43	1
279.0783	1.913	IncongMix	0.48	1
280.9943	2.261	CongMix	0.412	1
283.2603	2.865	IncongMix	0.466	1
286.1433	2.202	IncongMix	0.519	1
288.3603	2.712	IncongMix	0.462	1
291.0763	2.434	IncongMix	0.434	1
293.5263	2.397	CongMix	0.432	1
295.9253	2.675	CongMix	0.392	1
298.6083	2.12	IncongMix	0.437	1
300.7413	2.792	IncongMix	0.392	1
303.5413	2.601	CongMix	0.352	1
306.1573	2.255	IncongMix	0.488	1
308.4243	2.328	IncongMix	0.645	1
310.7573	2.006	IncongMix	0.656	1
312.7733	2.891	CongMix	0.391	1
315.6733	1.937	CongMix	0.371	1
317.6223	2.281	CongMix	0.398	1
319.9053	2.243	CongMix	0.427	1
322.1553	2.392	CongMix	0.409	1
324.5553	2.495	IncongMix	0.529	1
327.0543	2.504	IncongMix	0.454	1
329.5713	2.069	IncongMix	0.536	1
331.6543	2.813	CongMix	0.397	1
334.4703	2.748	IncongMix	0.549	1
337.2363	2.14	CongMix	0.407	1
339.3863	1.915	IncongMix	0.465	0
341.3193	2.371	IncongMix	0.588	1
343.7023	2.747	IncongMix	0.597	1
346.4523	1.25	CongMix	0	0
348.6183	2.301	IncongMix	0.552	1
350.9343	2.595	IncongMix	0.412	1
353.5343	2.894	IncongMix	0.444	1
356.4343	2.375	CongMix	0.424	1
369.8323	2.41	Congruent1	0.377	1
372.2483	2.406	Congruent1	0.457	1
374.6643	2.426	Congruent1	0.393	1
377.0973	2.402	Congruent1	0.352	1
379.5143	2.429	Congruent1	0.479	1
381.9473	2.409	Congruent1	0.293	1
384.3633	2.407	Congruent1	0.341	1
386.7793	2.426	Congruent1	0.477	1
389.2123	2.401	Congruent1	0.484	1
391.6293	2.429	Congruent1	0.379	1
394.0623	2.401	Congruent1	0.418	1
396.4783	2.417	Congruent1	0.434	1
398.9113	2.426	Congruent1	0.36	1
401.3443	2.407	Congruent1	0.391	1
403.7603	2.409	Congruent1	0.575	1
406.1773	2.426	Congruent1	0.342	1
408.6103	2.402	Congruent1	0.485	1
411.0263	2.429	Congruent1	0.429	1
413.4593	2.4	Congruent1	0.484	1
415.8753	2.415	Congruent1	0.699	1
418.3083	2.422	Congruent1	0.522	1
420.7413	2.408	Congruent1	0.425	1
423.1573	2.421	Congruent1	0.505	1
425.5903	2.415	Congruent1	0.432	1
428.0073	2.414	Congruent1	0.431	1
430.4233	2.42	Congruent1	0.487	1
432.8563	2.413	Congruent1	0.597	0
435.2723	2.406	Congruent1	0.389	1
437.6893	2.421	Congruent1	0.388	1
440.1223	2.42	Congruent1	0.387	1
442.5553	2.4	Congruent1	0.434	1
444.9713	2.421	Congruent1	0.538	1
447.4043	2.408	Congruent1	0.409	1
449.8203	2.416	Congruent1	0.4	1
452.2533	2.424	Congruent1	0.575	1
454.6863	2.417	Congruent1	0.534	1
457.1193	2.407	Congruent1	0.357	1
459.5363	2.411	Congruent1	0.428	1
461.9523	2.426	Congruent1	0.46	1
464.3853	2.404	Congruent1	0.355	1
466.8013	2.413	Congruent1	0.546	1
469.2183	2.414	Congruent1	0.481	1
471.6513	2.429	Congruent1	0.496	1
474.0843	2.405	Congruent1	0.455	1
476.5003	2.42	Congruent1	0.487	1
478.9333	2.416	Congruent1	0.35	1
481.3663	2.408	Congruent1	0.725	1
483.7823	2.417	Congruent1	0.468	1
486.2153	2.41	Congruent1	0.427	1
488.6323	2.414	Congruent1	0.514	1
491.0483	2.424	Congruent1	0.458	1
493.4813	2.408	Congruent1	0.409	1
495.8973	2.417	Congruent1	0.401	1
498.3303	2.418	Congruent1	0.352	1
500.7633	2.417	Congruent1	0.534	1
503.1963	2.413	Congruent1	0.413	1
505.6133	2.403	Congruent1	0.42	1
508.0293	2.421	Congruent1	0.404	1
510.4623	2.414	Congruent1	0.515	1
512.8783	2.414	Congruent1	0.547	1
515.2953	2.418	Congruent1	0.418	1
517.7283	2.408	Congruent1	0.441	1
520.1443	2.417	Congruent1	0.384	1
522.5773	2.424	Congruent1	0.391	1
525.0103	2.408	Congruent1	0.342	1
527.4263	2.418	Congruent1	0.318	1
529.8593	2.404	Congruent1	0.421	1
532.2753	2.426	Congruent1	0.493	1
534.7083	2.413	Congruent1	0.58	1
537.1253	2.412	Congruent1	0.546	1
539.5413	1.516	Congruent1	0	0
541.9573	2.038	Congruent1	0.522	0
554.9223	2.24	IncongMix	0.524	1
557.1723	2.102	IncongMix	0.586	1
559.2883	1.946	CongMix	0.43	1
561.2383	2.857	CongMix	0.408	1
564.1043	2.003	IncongMix	0.486	1
566.1213	2.431	CongMix	0.365	1
568.5703	2.077	IncongMix	0.644	1
570.6533	2.178	IncongMix	0.712	1
572.8363	2.728	IncongMix	0.545	1
575.5693	2.529	CongMix	0.58	1
578.1023	2.435	IncongMix	0.519	1
580.5523	2.092	CongMix	0.509	1
582.6523	2.457	CongMix	0.457	1
585.1183	2.369	CongMix	0.519	1
587.5013	2.719	CongMix	0.519	1
590.2343	2.115	CongMix	0.482	1
592.3673	2.813	CongMix	0.397	1
595.1833	2.507	IncongMix	0.557	1
597.7003	2.119	IncongMix	0.552	1
599.8333	2.883	CongMix	0.467	1
602.7323	2.753	IncongMix	0.52	1
605.4993	2.863	IncongMix	0.48	1
608.3653	2.358	IncongMix	0.542	1
610.7313	2.255	CongMix	0.456	1
612.9973	2.805	CongMix	0.438	1
615.8143	2.671	CongMix	0.421	1
618.4973	2.205	CongMix	0.522	1
620.7133	1.911	IncongMix	0.562	1
622.6293	2.893	IncongMix	0.477	1
625.5293	2.705	IncongMix	0.489	1
628.2453	2.741	IncongMix	0.525	1
630.9953	2.175	CongMix	0.375	1
633.1783	2.547	CongMix	0.48	1
635.7283	2.246	CongMix	0.53	1
637.9773	2.211	IncongMix	0.544	1
640.1943	2.496	IncongMix	0.447	1
642.6933	2.377	IncongMix	0.428	1
645.0763	2.207	CongMix	0.357	1
647.2933	2.011	CongMix	0.428	1
649.3093	2.593	IncongMix	0.476	1
651.9093	2.386	CongMix	0.42	1
654.3083	2.65	CongMix	0.517	1
656.9753	2.18	IncongMix	0.497	1
659.1583	2.844	CongMix	0.578	1
662.0073	2.02	IncongMix	0.521	1
664.0403	2.871	IncongMix	0.488	1
666.9233	2.789	IncongMix	0.389	1
669.7233	2.742	IncongMix	0.509	1
672.4723	2.321	CongMix	0.455	1
674.8053	2.09	CongMix	0.49	1
676.9053	2.385	CongMix	0.502	1
679.3053	1.998	IncongMix	0.614	1
681.3053	2.894	IncongMix	0.494	1
684.2043	2.613	CongMix	0.347	1
686.8203	2.567	CongMix	0.651	1
689.4033	2.619	CongMix	0.42	1
692.0363	1.939	IncongMix	0.506	1
693.9863	2.13	CongMix	0.38	1
696.1193	2.607	CongMix	0.391	1
698.7353	2.317	IncongMix	0.551	1
701.0683	2.439	CongMix	0.506	1
703.5183	2.28	CongMix	0.464	1
705.8013	2.899	IncongMix	0.533	1
708.7173	1.932	CongMix	0.416	1
710.6673	2.247	IncongMix	0.514	1
712.9173	2.158	CongMix	0.392	1
715.0833	2.564	IncongMix	0.498	1
717.6493	1.917	IncongMix	0.7	1
719.5833	2.81	CongMix	0.51	1
722.3993	2.326	IncongMix	0.326	0
724.7323	2.114	IncongMix	0.648	1
726.8483	1.825	IncongMix	0.468	1
739.6633	2.402	Control1	0.469	1
742.0793	2.413	Control1	0.38	1
744.4963	2.418	Control1	0.435	1
746.9293	2.409	Control1	0.426	1
749.3453	2.424	Control1	0.474	1
751.7783	2.408	Control1	0.409	1
754.1943	2.424	Control1	0.441	1
756.6273	2.403	Control1	0.336	1
759.0443	2.422	Control1	0.422	1
761.4773	2.406	Control1	0.373	1
763.8933	2.421	Control1	0.405	1
766.3263	2.407	Control1	0.508	1
768.7423	2.427	Control1	0.444	1
771.1753	2.412	Control1	0.595	1
773.5923	2.417	Control1	0.634	1
776.0253	2.421	Control1	0.504	1
778.4583	2.413	Control1	0.663	1
780.8743	2.408	Control1	0.375	1
783.2903	2.422	Control1	0.439	1
785.7233	2.413	Control1	0.446	1
788.1403	2.414	Control1	0.565	1
790.5563	2.42	Control1	0.437	1
792.9893	2.418	Control1	0.651	1
795.4223	2.406	Control1	0.506	1
797.8383	2.414	Control1	0.514	1
800.2553	2.421	Control1	0.321	1
802.6883	2.409	Control1	0.576	1
805.1043	2.423	Control1	0.84	1
807.5373	2.406	Control1	0.423	1
809.9533	2.41	Control1	0.726	1
812.3703	2.423	Control1	0.589	1
814.8033	2.416	Control1	0.5	1
817.2353	2.415	Control1	0.316	1
819.6683	2.404	Control1	0.371	1
822.0853	2.413	Control1	0.73	1
824.5013	2.416	Control1	0.466	1
826.9343	2.414	Control1	0.281	1
829.3503	2.426	Control1	0.36	1
831.7833	2.419	Control1	0.303	0
834.2163	2.403	Control1	0.286	1
836.6333	2.426	Control1	0.709	1
839.0663	2.404	Control1	0.388	1
841.4823	2.427	Control1	0.444	1
843.9153	2.416	Control1	0.483	1
846.3483	2.403	Control1	0.337	1
848.7643	2.417	Control1	0.401	1
851.1973	2.423	Control1	0.624	1
853.6303	1.517	Control1	0	0
856.0473	2.417	Control1	0.534	1
858.4803	2.415	Control1	0.365	1
860.9133	2.411	Control1	0.428	1
863.3293	2.42	Control1	0.587	1
865.7623	2.4	Control1	0.434	1
868.1783	2.42	Control1	0.354	1
870.6113	2.412	Control1	0.329	1
873.0283	2.419	Control1	0.336	1
875.4613	2.408	Control1	0.375	1
877.8773	2.417	Control1	0.367	1
880.3103	1.516	Control1	0	0
882.7433	2.424	Control1	0.508	1
885.1763	2.414	Control1	0.331	1
887.5923	2.416	Control1	0.483	1
890.0253	2.405	Control1	0.522	1
892.4423	2.421	Control1	0.321	1
894.8753	2.419	Control1	0.352	1
897.3083	2.416	Control1	0.366	1
899.7413	2.415	Control1	0.365	1
902.1743	2.406	Control1	0.556	1
904.5903	2.408	Control1	0.692	1
907.0063	2.42	Control1	0.404	1
909.4393	2.422	Control1	0.539	1
911.8723	1.95	Control1	0.434	1
924.8373	2.791	IncongMix	0.524	1
927.6373	2.168	CongMix	0.468	1
929.8203	2.27	CongMix	0.453	1
932.1033	2.112	IncongMix	0.529	1
934.2193	1.953	CongMix	0.437	1
936.1853	2.254	IncongMix	0.487	1
938.4523	2.746	IncongMix	0.58	1
941.2013	2.729	IncongMix	0.463	1
943.9343	2.251	CongMix	0.434	1
946.2013	2.861	IncongMix	0.495	1
949.0673	2.904	IncongMix	0.588	1
951.9833	2.446	IncongMix	0.496	1
954.4333	2.024	CongMix	0.574	1
956.4663	2.791	CongMix	0.741	1
959.2663	2.902	IncongMix	0.685	1
962.1823	2.151	CongMix	0.585	1
964.3483	2.134	CongMix	0.634	1
966.4983	2.372	CongMix	0.772	1
968.8813	2.37	IncongMix	0.637	1
971.2643	2.439	CongMix	0.622	1
973.7143	2.609	CongMix	0.476	1
976.3303	1.936	CongMix	0.636	1
