"onset"	"duration"	"trial_type"	"response_time"	"accuracy"
3e-04	2.415	"Control1"	0.464	1
2.4183	2.423	"Control1"	0.422	1
4.8533	2.407	"Control1"	0.355	1
7.2723	2.418	"Control1"	0.4	1
9.7073	2.426	"Control1"	0.341	1
12.1423	2.404	"Control1"	0.402	1
14.5613	2.424	"Control1"	0.423	1
16.9963	2.404	"Control1"	0.452	1
19.4153	2.428	"Control1"	0.376	1
21.8503	2.408	"Control1"	0.357	1
24.2683	2.424	"Control1"	0.339	1
26.7043	2.415	"Control1"	0.447	1
29.1223	2.416	"Control1"	0.397	1
31.5413	2.403	"Control1"	0.402	1
33.9593	2.412	"Control1"	0.36	1
36.3783	2.416	"Control1"	0.365	1
38.7963	2.423	"Control1"	0.339	1
41.2313	2.411	"Control1"	0.376	1
43.6503	2.425	"Control1"	0.34	1
46.0853	2.414	"Control1"	0.345	1
48.5043	2.417	"Control1"	0.382	1
50.9393	2.405	"Control1"	0.371	1
53.3573	2.411	"Control1"	0.409	1
55.7763	2.424	"Control1"	0.406	1
58.2113	2.415	"Control1"	0.347	1
60.6303	2.418	"Control1"	0.416	1
63.0653	2.407	"Control1"	0.405	1
65.4843	2.413	"Control1"	0.378	1
67.9023	2.413	"Control1"	0.344	1
70.3213	2.424	"Control1"	0.356	1
72.7563	2.412	"Control1"	0.377	1
75.1743	2.409	"Control1"	0.407	1
77.5933	2.418	"Control1"	0.3	1
80.0283	2.42	"Control1"	0.369	1
82.4633	2.419	"Control1"	0.334	1
84.8993	2.415	"Control1"	0.33	1
87.3173	2.414	"Control1"	0.312	1
89.7363	2.417	"Control1"	0.349	1
92.1543	2.409	"Control1"	0.307	1
94.5733	2.411	"Control1"	0.343	1
96.9913	2.409	"Control1"	0.357	1
99.4103	2.422	"Control1"	0.354	1
101.8453	2.409	"Control1"	0.375	1
104.2633	2.426	"Control1"	0.341	1
106.6993	2.416	"Control1"	0.281	1
109.1173	2.412	"Control1"	0.327	1
111.5363	2.415	"Control1"	0.38	1
113.9543	2.406	"Control1"	0.354	1
116.3733	2.416	"Control1"	0.415	1
118.7913	2.415	"Control1"	0.38	1
121.2103	2.422	"Control1"	0.337	1
123.6453	2.419	"Control1"	0.334	1
126.0803	2.409	"Control1"	0.307	1
128.4993	2.414	"Control1"	0.296	1
130.9173	2.425	"Control1"	0.39	1
133.3533	2.412	"Control1"	0.394	1
135.7713	2.414	"Control1"	0.312	1
138.1903	2.419	"Control1"	0.301	1
140.6253	2.406	"Control1"	0.338	1
143.0433	2.411	"Control1"	0.376	1
145.4623	2.416	"Control1"	0.364	1
147.8813	2.42	"Control1"	0.385	1
150.3163	2.416	"Control1"	0.382	1
152.7343	2.408	"Control1"	0.356	1
155.1533	2.421	"Control1"	0.353	1
157.5883	2.416	"Control1"	0.414	1
160.0073	2.416	"Control1"	0.331	1
162.4253	2.412	"Control1"	0.393	1
164.8443	2.408	"Control1"	0.39	1
167.2623	2.417	"Control1"	0.348	1
169.6813	2.419	"Control1"	0.384	1
172.1163	1.93	"Control1"	0.429	1
185.0593	2.443	"CongMix"	0.558	1
187.5113	2.594	"IncongMix"	0.426	1
190.1133	2.11	"IncongMix"	0.392	1
192.2313	1.912	"IncongMix"	0.41	1
194.1503	2.564	"CongMix"	0.546	1
196.7183	2.004	"IncongMix"	0.786	1
198.7373	1.943	"CongMix"	0.575	1
200.6883	2.841	"CongMix"	0.456	1
203.5403	2.133	"CongMix"	0.516	1
205.6753	2.491	"IncongMix"	0.573	1
208.1773	2.757	"IncongMix"	0.655	1
210.9463	2.445	"CongMix"	0.51	1
213.3983	2.248	"IncongMix"	0.53	1
215.6503	2.749	"IncongMix"	0.614	1
218.4023	2.687	"CongMix"	0.502	1
221.1043	2.438	"IncongMix"	0.503	1
223.5563	2.525	"CongMix"	0.523	1
226.0913	2.871	"CongMix"	0.452	1
228.9773	2.113	"IncongMix"	0.662	1
231.0953	2.731	"IncongMix"	0.696	1
233.8303	2.703	"IncongMix"	0.601	1
236.5493	2.376	"CongMix"	0.458	1
238.9343	2.091	"CongMix"	0.473	1
241.0363	2.329	"CongMix"	0.411	1
243.3713	2.886	"IncongMix"	0.484	1
246.2733	2.187	"CongMix"	0.469	1
248.4753	2.703	"CongMix"	0.451	1
251.1943	2.357	"IncongMix"	0.556	1
253.5623	2.802	"CongMix"	0.484	1
256.3813	2.259	"CongMix"	0.441	1
258.6493	2.016	"IncongMix"	0.381	1
260.6683	2.36	"IncongMix"	0.442	1
263.0363	2.246	"IncongMix"	0.378	0
265.2883	2.242	"IncongMix"	0.59	1
267.5403	2.874	"IncongMix"	0.522	1
270.4253	2.893	"IncongMix"	0.492	1
273.3273	2.729	"IncongMix"	0.494	1
276.0633	2.887	"CongMix"	0.502	1
278.9653	2.647	"CongMix"	0.496	1
281.6173	2.864	"IncongMix"	0.596	1
284.4863	2.44	"CongMix"	0.455	1
286.9383	1.955	"IncongMix"	0.571	1
288.9063	1.951	"CongMix"	0.483	1
290.8583	2.601	"CongMix"	0.499	1
293.4603	2.812	"IncongMix"	0.393	1
296.2793	2.091	"IncongMix"	0.557	1
298.3803	2.799	"CongMix"	0.448	1
301.1823	2.882	"IncongMix"	0.63	1
304.0683	2.2	"IncongMix"	0.616	1
306.2863	2.314	"IncongMix"	0.646	1
308.6053	1.924	"IncongMix"	0.639	1
310.5403	2.382	"CongMix"	0.48	1
312.9253	2.181	"IncongMix"	0.479	1
315.1103	2.211	"IncongMix"	0.71	1
317.3283	2.16	"CongMix"	0.492	1
319.4973	2.554	"IncongMix"	0.586	1
322.0653	2.516	"IncongMix"	0.514	1
324.5843	2.019	"CongMix"	0.451	1
326.6193	2.556	"CongMix"	0.488	1
329.1873	2.205	"CongMix"	0.52	1
331.4063	2.237	"CongMix"	0.453	1
333.6573	2.817	"CongMix"	0.482	1
336.4763	2.013	"IncongMix"	0.511	1
338.4953	2.611	"CongMix"	0.476	1
341.1133	2.284	"CongMix"	0.466	1
343.3983	2.073	"IncongMix"	0.605	1
345.4833	2.616	"CongMix"	0.631	1
348.1023	2.218	"CongMix"	0.5	1
350.3373	2.397	"CongMix"	0.529	1
352.7393	1.401	"IncongMix"	0	0
355.0413	2.133	"CongMix"	0.465	1
357.1763	1.662	"CongMix"	0.49	1
369.7853	2.426	"Neutral1"	0.457	1
372.2213	2.404	"Neutral1"	0.436	1
374.6393	2.419	"Neutral1"	0.434	1
377.0743	2.415	"Neutral1"	0.447	1
379.4933	2.42	"Neutral1"	0.452	1
381.9283	2.419	"Neutral1"	0.401	0
384.3633	2.404	"Neutral1"	0.486	1
386.7823	2.415	"Neutral1"	0.547	1
389.2003	2.424	"Neutral1"	0.489	1
391.6363	2.421	"Neutral1"	0.453	1
394.0713	2.403	"Neutral1"	0.569	1
396.4893	2.411	"Neutral1"	0.543	1
398.9083	2.418	"Neutral1"	0.5	1
401.3433	2.422	"Neutral1"	0.521	1
403.7783	2.409	"Neutral1"	0.574	1
406.1973	2.41	"Neutral1"	0.459	1
408.6153	2.422	"Neutral1"	0.537	1
411.0513	2.409	"Neutral1"	0.541	1
413.4693	2.428	"Neutral1"	0.427	1
415.9043	2.405	"Neutral1"	0.52	1
418.3233	2.422	"Neutral1"	0.437	1
420.7583	2.406	"Neutral1"	0.521	1
423.1773	2.426	"Neutral1"	0.574	1
425.6123	2.409	"Neutral1"	0.475	1
428.0303	2.409	"Neutral1"	0.441	1
430.4493	2.419	"Neutral1"	0.518	1
432.8843	2.423	"Neutral1"	0.539	1
435.3193	2.41	"Neutral1"	0.408	1
437.7383	2.407	"Neutral1"	0.389	1
440.1563	2.416	"Neutral1"	0.531	1
442.5753	2.415	"Neutral1"	0.464	1
444.9933	2.422	"Neutral1"	0.47	1
447.4293	2.416	"Neutral1"	0.481	1
