onset	duration	trial_type	response_time	accuracy
3e-04	2.413	Neutral1	0.68	1
2.4163	2.414	Neutral1	0.464	1
4.8333	2.413	Neutral1	0.463	1
7.2493	2.412	Neutral1	0.446	1
9.6653	2.413	Neutral1	0.446	1
12.0823	2.424	Neutral1	0.341	1
14.5153	2.417	Neutral1	0.5	1
16.9483	2.409	Neutral1	0.459	1
19.3643	2.41	Neutral1	0.427	1
21.7803	2.415	Neutral1	0.515	1
24.1973	2.414	Neutral1	0.497	1
26.6133	2.42	Neutral1	0.553	1
29.0463	2.412	Neutral1	0.896	1
31.4623	2.414	Neutral1	0.48	1
33.8793	2.419	Neutral1	0.535	1
36.3123	2.418	Neutral1	0.534	1
38.7453	2.406	Neutral1	0.373	1
41.1613	2.42	Neutral1	0.437	1
43.5943	2.42	Neutral1	0.603	1
46.0273	2.412	Neutral1	0.562	1
48.4433	2.42	Neutral1	0.37	1
50.8763	2.415	Neutral1	0.449	1
53.3093	2.408	Neutral1	0.424	1
55.7263	2.427	Neutral1	0.343	1
58.1593	2.416	Neutral1	0.366	1
60.5923	2.41	Neutral1	0.66	1
63.0083	2.414	Neutral1	0.532	1
65.4243	2.42	Neutral1	0.42	1
67.8573	2.42	Neutral1	0.387	1
70.2903	2.401	Neutral1	0.634	1
72.7073	2.418	Neutral1	0.569	1
75.1393	2.416	Neutral1	0.433	1
77.5723	2.415	Neutral1	0.432	1
79.9893	2.427	Neutral1	0.494	1
82.4223	2.402	Neutral1	0.669	1
84.8383	2.424	Neutral1	0.341	1
87.2713	2.422	Neutral1	0.556	1
89.7043	2.414	Neutral1	0.515	1
92.1203	2.405	Neutral1	0.555	1
94.5373	2.415	Neutral1	0.466	1
96.9533	2.414	Neutral1	0.481	1
99.3693	2.411	Neutral1	0.361	1
101.7863	2.428	Neutral1	0.328	1
104.2193	2.412	Neutral1	0.479	1
106.6353	2.421	Neutral1	0.455	1
109.0683	2.409	Neutral1	0.51	1
111.4843	2.415	Neutral1	0.398	1
113.9013	2.417	Neutral1	0.5	1
116.3343	2.409	Neutral1	0.443	1
118.7503	2.413	Neutral1	0.347	1
121.1663	2.418	Neutral1	0.435	1
123.5993	2.418	Neutral1	0.602	1
126.0323	2.422	Neutral1	0.689	1
128.4653	2.405	Neutral1	0.472	1
130.8823	2.418	Neutral1	0.551	1
133.3153	2.412	Neutral1	0.429	1
135.7313	2.414	Neutral1	0.365	1
138.1473	2.419	Neutral1	0.453	1
140.5803	2.421	Neutral1	0.372	1
143.0133	2.422	Neutral1	0.523	1
145.4463	2.405	Neutral1	0.538	1
147.8633	2.423	Neutral1	0.473	1
150.2963	2.407	Neutral1	0.624	1
152.7123	2.413	Neutral1	0.447	1
155.1283	2.426	Neutral1	0.543	1
157.5613	2.413	Neutral1	0.43	1
159.9783	2.414	Neutral1	0.381	1
162.3943	2.41	Neutral1	0.661	1
164.8103	2.414	Neutral1	0.397	1
167.2273	2.423	Neutral1	0.356	1
169.6603	2.419	Neutral1	0.386	1
172.0933	1.982	Neutral1	0.465	1
185.0583	1.992	IncongMix	0.476	1
187.0573	2.442	IncongMix	0.492	1
189.5073	2.263	IncongMix	0.33	1
191.7733	2.015	CongMix	0.432	1
193.7903	2.075	IncongMix	0.575	1
195.8733	2.733	IncongMix	0.5	1
198.6223	2.22	CongMix	0.271	1
200.8553	2.641	CongMix	0.358	1
203.5053	2.816	CongMix	0.5	1
206.3383	1.943	IncongMix	0.426	1
208.2883	2.882	IncongMix	0.516	1
211.1873	2.847	CongMix	0.481	1
214.0373	2.219	IncongMix	0.319	0
216.2703	2.566	IncongMix	0.55	1
218.8533	2.702	CongMix	0.519	1
221.5693	2.866	IncongMix	0.499	1
224.4363	1.95	CongMix	0.367	1
226.4023	2.304	IncongMix	0.505	1
228.7183	2.281	CongMix	0.365	1
231.0013	2.252	CongMix	0.402	1
233.2683	2.205	CongMix	0.439	1
235.4843	2.172	IncongMix	0.439	1
237.6673	2.551	CongMix	0.568	1
240.2333	2.823	CongMix	0.49	1
243.0663	2.179	CongMix	0.496	1
245.2493	1.917	IncongMix	0.601	1
247.1823	2.109	IncongMix	0.476	1
249.2993	2.724	IncongMix	0.591	1
252.0323	1.913	IncongMix	0.53	1
253.9483	2.559	CongMix	0.526	1
256.5143	2.694	CongMix	0.544	1
259.2143	2.437	CongMix	0.42	1
261.6643	2.093	CongMix	0.577	1
263.7633	2.701	IncongMix	0.718	1
266.4803	2.013	IncongMix	0.513	1
268.4963	2.798	CongMix	0.481	1
271.2963	2.615	CongMix	0.449	1
273.9123	2.442	CongMix	0.425	1
276.3623	2.882	IncongMix	0.615	1
279.2453	2.578	IncongMix	0.411	1
281.8283	2.891	CongMix	0.692	1
284.7273	2.382	CongMix	0.449	1
287.1273	2.25	IncongMix	0.617	1
289.3933	2.495	IncongMix	0.479	1
291.8933	2.137	CongMix	0.387	1
294.0433	2.095	IncongMix	0.629	1
296.1423	2.748	IncongMix	0.449	1
298.8923	2.243	IncongMix	0.643	1
301.1423	2.325	IncongMix	0.625	1
303.4753	2.843	CongMix	0.444	1
306.3243	2.529	CongMix	0.363	1
308.8573	2.895	IncongMix	0.662	1
311.7573	2.908	IncongMix	0.642	1
314.6733	2.447	CongMix	0.397	1
317.1233	2.613	CongMix	0.363	1
319.7393	2.388	CongMix	0.355	1
322.1393	2.188	IncongMix	0.355	1
324.3383	2.744	IncongMix	0.428	1
